ID,英単語,日本語訳,フレーズ(英語),フレーズ(日本語),文中の英単語,文中の日本語,備考
534,option,名：選択肢・オプション,an option to change the date,日付を変更する選択肢,option,選択肢,option to do（〜する選択肢）の形は文法問題でも出題例有り。形：optional（任意の・強制ではない） 例：Donations are optional.（寄付は任意です）
535,numerous,形：数多くの,I have eaten at numerous local restaurants.,私は、数多くの地元のレストランで食事をしたことがあります。,numerous,数多くの,つづりの似たnumber（数）が語源で、数が非常に多いことを示す。
536,accomplished,形：熟達した・スキルの高い,an accomplished designer,熟練したデザイナー,accomplished,熟練した,動：accomplish（成し遂げる） 名：accomplishment（実績）
537,deserve,動：値する,deserve a promotion,昇進に値する,deserve,値する,TOEICの世界では、昇進はあっても降格はない。
538,patterned,形：柄の入った,a dress patterned with flowers,花の模様が入ったドレス,patterned,模様が入った,パート1でも出題例のある単語。カタカナ語の「パターン」とはアクセントの位置が違うので、発音に注意。
539,prohibit,動：禁止する,Street parking is prohibited in this area.,路上駐車はこの地域では禁止されています。,prohibited,禁止されています,TOEICの世界では、しばしば駐車違反をしないよう呼びかけが行われるが、実際に反則切符を切られた人は存在しない。
540,relief,名：安らぎ・(苦痛・悩み等の)緩和,provide relief to people,人々に安らぎを与える,relief,安らぎ,不可算名詞であることも押さえる。動：relieve（和らげる・緩和する）
541,mission,名：使命・ミッション,the company's mission,会社の使命,mission,使命,「会社や個人に与えられた重要な任務」のこと。『ミッション・インポッシブル』の「ミッション」も同じ意味。類：a mission statement（社是・企業理念）
542,restrict,動：制限する,restrict employees from accessing the Internet,従業員がインターネットにアクセスすることを制限する,restrict,制限する,restrict A from doingの形を取ることも押さえる。
543,accordingly,副：したがって・それに応じて,"The weather is cold, so dress accordingly.",気候が寒冷なので、それに応じた服を着てください。,accordingly,それに応じた,「原因→結果」の話の流れを作る接続詞として、パート6でも頻出。
544,pension,名：年金,a pension plan,年金計画,pension,年金,カタカナ語の「ペンション」とは意味がまったく異なる。類：a retirement plan（退職金制度）
545,predict,動：予測する,some experts predict that,数名の専門家は〜と予測している,predict,予測している,that節を伴う語法も重要。副：as predicted（予想された通り）・than predicted（予想された以上に）
546,eventually,副：最終的には・結局,Tex was eventually promoted to CEO.,テックスは最終的にはCEOに昇進した。,eventually,最終的には,類：finally（最終的に）
547,innovative,形：革新的な,an innovative technology,革新的な技術,innovative,革新的な,名：innovation（技術革新）
548,investigation,名：調査,the scene of the investigation,調査の現場,investigation,調査,investigationは、「事故や問題等の原因の調査」を指す。動：investigate（調査する）
549,reserve,動：取っておく・(権利を)保有する,reserve the right to cancel an order,注文をキャンセルする権利を保有する,reserve,保有する,「取っておく」の意味も重要。例：reserve a ticket（チケットを押さえる） ※名詞のreservationは多義語のページ参照。
550,distinct,形：はっきり異なる,three distinct features,3つのはっきり異なる特徴,distinct,はっきり異なる,類：distinctive（特徴的な） 例：a distinctive voice（特徴のある声） ※featureについては多義語のページ参照。
551,register,動：登録する,register for employee training,社員研修に登録する,register,登録する,名：registration（登録） 類：sign up for（〜に登録する）
552,house,動：保有する・所蔵する・収容する,The facility houses six laboratories.,その施設には6つの研究所が入っている。,houses,入っている,houseは動詞でも使われることに注意。
553,resign,動：辞職する・辞任する,resign without notice,予告なしに辞任する,resign,辞任する,名詞のresignation（辞職・辞表）も重要語。例：submit a resignation（辞表を提出する） 類：step down（辞任する）
554,delicate,形：細心の注意を要する・デリケートな,delicate negotiations,細心の注意が必要な交渉,delicate,細心の注意が必要な,問題が起きたり失敗しないよう注意が必要な、の意味。「デリケートな」とカタカナ語にもなっているが、発音が異なるのに注意。類：sensitive（慎重に扱うべき）
555,honor,動：称える・(契約等を)守る 名：名誉,honor an employee,社員を称える,honor,称える,「(契約等を)守る」の意味も重要。例：honor a contract（契約を守る） 名詞でも使われる。例：in honor of Tex Kato（テックス加藤を称えて）
556,assortment,名：詰め合わせ,a six-piece assortment,6個入りの詰め合わせ,assortment,詰め合わせ,筆者は玩具のバイヤー時代、「ウルトラ怪獣フィギュア36匹アソートメント」「トミカ72台アソートメント」といった商品の発注を行っていた。
557,substitute,動：〜を代わりに用いる 名：代わりを務める人・代用品,substitute butter for vegetable oil,植物油の代わりにバターを使う,substitute,代わりに使う,substitute A for B（AをBの代わりに用いる）の形で覚える。名詞も重要。例：a substitute for Tex（テックスの代わりの人）
558,relocate,動：移転させる・引っ越す,relocate an office,オフィスを移転する,relocate,移転する,location（場所）が変わる、の意味。自動詞と他動詞の両方で出る。例：I will relocate to Tokyo next month.（来月東京に引っ越します） 名：relocation（移転） 類：move（引っ越す）
559,reluctant,形：気乗りがしない・渋々〜する,Tex was reluctant to talk about it.,テックスはそのことについて話したがらなかった。,reluctant,話したがらなかった,筆者は学生時代、「ブルース・リーが落胆する→リーラクタン→reluctant」のイメージでこの単語を覚えた。
560,dispose,動：処分する,dispose of garbage,ゴミを処分する,dispose,処分する,類：discard（捨てる） 名：disposal（処分） 形：disposable（使い捨ての）
561,independently,副：単独で・独立して,work independently and as a team member,単独でもチームの一員としても働く,independently,単独で,「他の人に頼らず独力で」の意味。企業などが「独立して」の意味でも出る。形：independent（独立した） 例：an independent firm（独立した会社）
562,stem,動：(〜から)生じる,The problems all stem from Tex.,問題はすべてテックスから生じる。,stem,生じる,前置詞のfromとセットで覚える。同意表現のresult from（〜に起因する）も重要。
563,convert,動：改造する・変える,convert a warehouse into an office,倉庫をオフィスに改造する,convert,改造する,「あるモノを別の形や用途に変える」の意味。「内野から外野へのコンバート」と野球用語でも使われている。
564,urge,動：強く促す,urge Tex to change his mind,テックスに考えを変えるよう強く促す,urge,強く促す,urge A to doと「目的語＋to不定詞」が続く形も重要。
565,enlarge,動：拡張する・増築する,enlarge a house,家を増築する,enlarge,増築する,large（大きく）すること。類：expand（拡大する）
566,doubtful,形：疑わしい,It is doubtful that Tex will succeed.,テックスが成功するかは疑問だ。,doubtful,疑問だ,It is doubtful that S+V.の文型も重要。
567,functional,形：機能を果たせる・機能的な,The machine is still functional.,その機械はまだちゃんと機能している。,functional,ちゃんと機能している,「機能的な（デザインよりも機能を重視した）」の意味も重要。例：a functional printer（機能的なプリンター） 類：operational（運転可能な・操業可能な）
568,fulfill,動：満たす・果たす,fulfill a requirement,必要条件を満たす,fulfill,満たす,パート5・6のほか、パート7の言い換え問題でも出題例のある重要語。類：accommodate/meet（満たす）
569,approximately,副：おおよそ・約,approximately two hours,約2時間,approximately,約,主に数字の前に置かれ、おおよその量、数字、時間等を示す重要語。類：roughly（おおよそ）
570,headquarters,名：本社,corporate headquarters in New York,ニューヨーク本社,headquarters,本社,単にheadquartersともいう。類：the head office（本社）
571,alliance,名：事業提携・提携関係,form an alliance,提携関係を築く,alliance,提携関係,「ある会社が別の会社とビジネス上の提携を結ぶこと」の意味。「アライアンスを築く」とビジネス語にもなっている。
572,routine,形：所定の・日常的に行われる 名：いつもの手順,routine maintenance work,普段行われているメンテナンス作業,routine,普段行われている,「仕事やプロセスの内部として普段行われている」の意味。「日常の仕事」の意味の名詞でも使われる。例：the daily work routine（日々の決まった仕事の手順） 副：routinely（日常的に・いつも）
573,undertake,動：引き受ける・請け負う,undertake a study,調査を引き受ける,undertake,引き受ける,その仕事をunder（下）でtake（請け）するイメージ。
574,knowledgeable,形：知識が豊富な,highly knowledgeable about investments,投資について非常に知識が豊富な,knowledgeable,知識が豊富な,つづりのknowledge（知識）から意味を覚えること。
575,specialize,動：専門にする,The company specializes in Web design.,その会社はウェブデザインを専門にしている。,specializes,専門にしている,派生語と合わせて文法問題にも頻出。形：specialized（専門の） 名：specialization（専門分野） 類：specialist（専門家）
576,phase,名：段階,the first phase,第一段階,phase,段階,類：step（段階） 関連：in phases（段階的に）
577,permit,名：許可証 動：許可する,a construction permit,建設許可証,permit,許可証,動詞でも出る。関連語のpermission（許可）は不可算名詞でpermitは可算名詞という違いにも注意。
578,regional,形：地域の,a regional sales meeting,地域の営業会議,regional,地域の,名詞のregion（地域）も重要語。
579,expire,動：期限が切れる,My driver's license expires in April.,私の運転免許証は4月に期限が切れます。,expires,期限が切れます,名：expiration（期限が切れること） 例：the expiration date（期限が切れる日）
580,outlook,名：見通し・モノの見方,the sales outlook,売上見通し,outlook,見通し,文字通り、将来をlook（見る）こと。「モノの見方」の意味も重要。例：a positive outlook（ポジティブな見方）
581,generous,形：寛大な・気前のよい,generous contributions to a charity,慈善団体への寛大な寄付,generous,寛大な,普通よりも量や程度が大きいことを指す。副：generously（寛大に・気前よく） 名：generosity（寛大さ・気前のよさ）
582,equip,動：備え付ける・装備する,Each room is equipped with Internet access.,それぞれの部屋にはインターネットが備わっています。,equipped,備わっています,be equipped with（〜を備えている）の形で頻出。
583,install,動：設置する・導入する,install a new printer,新しいプリンターを設置する,install,設置する,printerには「印刷業者・印刷所」の意味もあることに注意。「プリンター」のことだと思い込んでいると意味が取れなくなる。名：installation（設置）
584,prescription,名：処方せん,ask for a prescription,処方せんを依頼する,prescription,処方せん,パート3・4の薬局での会話や、医院・薬局からの留守電で出る。ちなみにTOEICの世界では、どんなに長い留守電でも絶対に途中で切れることはない。
585,recipient,名：受取人・受賞者,recipients of the prize,賞の受賞者,recipients,受賞者,receive（受け取る）人のこと。「文書や荷物の受取人」の意味でも出る。類：receipt（領収書）
586,recruit,名：新人 動：採用する・募集する,the new recruits,新入社員,recruits,新入社員,最近会社に入った人を指す。動詞でも出る。例：recruit new staff（新しいスタッフを採用する） 類：recruitment（採用）
587,accommodations,名：宿泊施設,The price includes flights and accommodations.,料金には航空運賃と宿泊費が含まれています。,accommodations,宿泊費,動詞のaccommodateについては多義語のページ参照。
588,grant,名：補助金・助成金 動：与える・許可する,obtain a grant,補助金を得る,grant,補助金,動詞では、The company granted him the approval.（会社は彼に承認を与えた）のようにSVOOの文型でも使われる。類：scholarship（奨学金）
589,preference,名：好み・希望,seat and meal preferences,座席と食事の希望,preferences,希望,パート2の「AかBか」の選択疑問文に対し、「I don't have preferences.（特に希望はありません）」と答えたり、パート7の空港関連の文書に出る。動詞のprefer（〜の方を好む）も頻出。
590,steadily,副：着実に,Sales have been increasing steadily.,売上は着実に伸びている。,steadily,着実に,形：steady（着実な）
591,suspend,動：一時停止する,suspend production,生産を一時停止する,suspend,一時停止する,雨で一時中断する野球の試合は「サスペンデッド・ゲーム」と呼ばれている。類義語のhalt（止める）も重要。
592,consult,動：(医者・弁護士等の専門家に)相談する,consult a doctor,医師に相談する,consult,相談する,類：consultant（コンサルタント・相談役）
593,ensure,動：保証する・請け負う,ensure that the products are safe,製品が安全であることを保証する,ensure,保証する,that以下のことが確実(sure)だと保証すること。直後にthat節を取る語法も重要。類：make sure（確実にする）
594,tourism,名：観光事業,tourism industry,観光産業,tourism,観光事業,「ツーリズム」とカタカナ語にもなっている。
595,consent,名：同意,without the written consent,書面での同意なしに,consent,同意,電気のコンセントは英語ではoutlet。
596,belongings,名：所持品・所有物,Make sure you have all your belongings.,所持品をお持ちかご確認ください。,belongings,所持品,パート4の乗り物のアナウンスで出る。動：belong（〜の所有物である） 例：This book belongs to Tex.（この本はテックスのものだ）
597,grocery,名：食料品・食料品店で販売されている食品,a local grocery store,地元の食料品店,grocery,食料品店,supermarket（スーパー）の類義語。
598,paycheck,名：給与・給与小切手,receive a paycheck,給与を受け取る,paycheck,給与,米国ではかつて給料は小切手(check)で支払われ、受け取った社員はそれを銀行で現金化していた。最近では銀行振込みが一般的になり、この単語は「給料」そのものも意味するようになった。
599,flexible,形：柔軟な・フレキシブルな,flexible work hours,フレックスタイム制,flexible,フレックスタイム制,単にflextimeともいう。決められた勤務時間の中で、自由に出退勤の時間を決められる制度のこと。
600,latter,名：後者,the former and the latter,前者と後者,latter,後者,パート7でそれぞれが何を指すのかが問われる場合がある。
601,modify,動：修正する,modify a contract,契約を修正する,modify,修正する,名：modification（修正）
602,multiple,形：複数の,operate in multiple countries,複数の国で営業する,multiple,複数の,"このフレーズは、「2カ国以上で営業している」「国際的に営業している」といったパート7の選択肢の正解のヒントとなる。"
603,profile,動：人物紹介をする 名：プロフィール,profile a businessperson,ビジネスパーソンの人物紹介をする,profile,人物紹介をする,パート7の文書の目的を問う問題の選択肢に出た。類：high-profile（注目を集める） 例：high-profile figures（注目の人物）
604,precisely,副：正確に,rapidly and precisely,迅速かつ正確に,precisely,正確に,形：precise（正確な） 名：precision（正確性） 類：accurately（正確に）
605,exhausted,形：疲れ切った,Tex was exhausted.,テックスは疲れ切っていた。,exhausted,疲れ切っていた,TOEICの世界では、疲れ切った社員は出てこないが、パート5の文法問題で狙われる可能性がある。
606,timeline,名：予定表,a timeline of events,イベントの予定表,timeline,予定表,パート7でscheduleとの言い換えで出る。
607,digit,名：桁,a six-digit code,6桁のコード,digit,桁,パート7で、暗証番号や顧客番号、商品のシリアル番号等で出る表現。
608,reimburse,動：払い戻す,reimburse travel expenses,旅費を払い戻す,reimburse,払い戻す,TOEIC最頻出語の一つ。出張等で自分で立て替えたお金を会社から後で払い戻してもらう、という意味。名詞のreimbursement（払い戻し）も重要。
609,compromise,名：妥協・妥協点 動：妥協する,reach a compromise,妥協点に達する,compromise,妥協点,動詞では「妥協する」以外に「（名声や評判を）傷付ける・台なしにする」の意味もあるので、同義語問題では注意が必要。
610,objective,名：目的・目標,the objective of the survey,アンケート調査の目的,objective,目的,類：goal/target/purpose/object（目標・目的）
611,periodically,副：定期的に,check the Web site periodically,ホームページを定期的にチェックする,periodically,定期的に,一定のperiod（期間）ごとに、の意味。類：regularly（定期的に）
612,extensive,形：詳細な・幅広い,extensive analysis,詳細な分析,extensive,詳細な,「幅広い」の意味でも出る。例：extensive experience（幅広い経験）
613,combined,形：共同の・連合の,a combined effort,共同の努力,combined,共同の,動：combine（組み合わせる・混ぜる） 名：combination（組み合わせ）
614,repeatedly,副：何度も,Tex repeatedly called the number.,テックスは何度もその番号に電話をした。,repeatedly,何度も,何度もrepeat（繰り返す）こと。
615,dedicated,形：献身的な・打ち込んでいる,We are dedicated to providing quality service.,当社は質の高いサービスを提供することに尽力しています。,dedicated,尽力しています,toは前置詞なので名詞や動名詞が続く語法にも注意。名：dedication（懸命な努力）
616,adequate,形：十分な・適切な,an adequate explanation,十分な説明,adequate,十分な,副：adequately（適切に・十分に）
617,ingredient,名：(料理の)材料,use fresh ingredients,新鮮な材料を使う,ingredients,材料,パート5の語彙問題で数度出題例がある。
618,outlet,名：店舗・コンセント,open an outlet in Japan,日本で店舗をオープンする,outlet,店舗,「アウトレット」とカタカナ語にもなっている。類：store（店舗）
619,considerably,副：かなり,Sales have increased considerably.,売上がかなり上がった。,considerably,かなり,程度が大きいことを示す類義語のsignificantly/substantially/markedly（かなりの）も押さえる。形：considerable（かなりの）
620,qualified,形：資格のある・適任の,Tex is qualified for the position.,テックスはその職に適任だ。,qualified,適任だ,名詞のqualification（資格・適正）も重要。例：excellent qualifications（優れた適性） 動：qualify（資格を与える）
621,acknowledge,動：(受け取ったことを)知らせる・認める,acknowledge receipt of the order,注文を受け取ったことを知らせる,acknowledge,知らせる,「認める」の意味も重要。例：acknowledge the need（必要性を認める） 名：acknowledgement（受取通知・同意・本の謝辞）
622,reliable,形：信頼できる・頼りになる,a reliable secretary,頼りになる秘書,reliable,頼りになる,同意語のdependable（頼りになる）・trusted（信頼のおける）も重要。動：rely（頼る） 名：reliability（信頼性）
623,reputation,名：評判,a well-deserved reputation,確固たる評判,reputation,評判,直訳すると「十分受けるに値する評判」で「評判が高いのは当然だ」という意味の決まり文句。フレーズで押さえよう。
624,beforehand,副：あらかじめ・事前に,prepare an agenda beforehand,前もってアジェンダを用意する,beforehand,前もって,同じ意味のin advanceも頻出。カタカナ語にもなっている「agenda（アジェンダ）」は、会議で話し合う議題をリストにしたもの。
625,valid,形：有効な,valid until the end of May,5月末まで有効な,valid,有効な,同じ意味を表すgoodも重要。例：good for 30 days（30日間有効） 反：expire（期限が切れる）
626,inspiring,形：やる気が出るような・活気づける,an inspiring speech,やる気が出るスピーチ,inspiring,やる気が出る,動：inspire（やる気を出させる） 名：inspiration（ひらめき・やる気の源）
627,overtime,名：残業 副：時間外に,work a lot of overtime,長時間残業する,overtime,残業,TOEICの世界では、サービス残業はなく、ちゃんと働いた分の残業代が出たり有給休暇が増えたりする。
628,authorize,動：公認する・権限を与える,an authorized dealer,公認の販売店,authorized,公認の,ある製品を販売する権利をメーカーから正式に得ている店のこと。名：authorization（権利・権威）
629,accessible,形：到達できる・利用できる,easily accessible by train,電車で簡単に行ける,accessible,行ける,「利用できる」の意味でも出る。例：The library is accessible to all employees.（従業員は誰でも図書館を利用できます）「アクセスできる」と考えるとイメージしやすい。
630,superb,形：素晴らしい,give a superb presentation,素晴らしいプレゼンを行う,superb,素晴らしい,superと語源が同じなので「スーパー素晴らしい」と覚える。同：excellent（素晴らしい）
631,donation,名：寄付,donations to the museum,ミュージアムへの寄付,donations,寄付,米国の文化的な背景もあってか、TOEICでは寄付関連の単語は超頻出。名：donor（寄付者） 動：donate（寄付する） 例：donate money（お金を寄付する）
632,revise,動：修正する・見直す,revise a plan,計画を修正する,revise,修正する,re（再び）+vise（見る）が語源。名：revision（見直し・修正）
633,refreshment,名：軽い飲食物,Refreshments will be served.,軽食が出ます。,Refreshments,軽食,「会議やイベントで出される軽い飲食物」を指すTOEIC頻出語。類：snack（軽食：スナック菓子のことではなく、軽い食べ物のこと）
634,whereas,接：〜であるのに対して,"Whereas sales increased, profits dropped.",売上が伸びた一方で、利益は減少した。,Whereas,一方で,カンマの前後に対照的な事柄を並べる接続詞。文法問題にも頻出なので、S+Vの節を伴う形も押さえる。類：while（一方で）
635,specify,動：明確に述べる・明記する,the regulations clearly specify that,規則には〜とはっきり記されている,specify,記されている,specifyはthat節を伴う語法も重要。
636,countless,形：数えきれないほどの・無数の,countless times,数えきれないほど何度も,countless,数えきれないほど,count（数える）ことができない、の意味。パート5・6で数度出題例がある。
637,coverage,名：報道・カバーすること,media coverage,メディアの報道,coverage,報道,media（メディア）は発音注意。※動詞のcoverは多義語のページ参照。
638,banquet,名：夕食会,Tex is looking forward to the banquet.,テックスは夕食会を楽しみにしている。,banquet,夕食会,banquetはフォーマルな夕食会のことでTOEIC頻出。同：luncheon（昼食会）
639,dependence,名：依存,dependence on imported oil,輸入石油への依存,dependence,依存,動：depend（頼る） 形：dependent（依存して）
640,exceptionally,副：並外れて・非常に,The system worked exceptionally well.,そのシステムは非常にうまく機能した。,exceptionally,非常に,exception（例外）の派生語で、「他に例がないくらい素晴らしい」の意味。形：exceptional（並外れて素晴らしい） 例：exceptional service（素晴らしいサービス）
641,utility,名：公共料金,The rent includes all utilities.,家賃にはすべての公共料金が含まれています。,utilities,公共料金,TOEICの世界では、公共料金や家賃を滞納する賃借人はいない。
642,inquiry,名：問い合わせ,Thank you for your inquiry.,お問い合わせありがとうございます。,inquiry,お問い合わせ,動：inquire（尋ねる） 例：inquire about a product（製品について問い合わせる） 形：inquisitive（質問好きの）
643,unfavorable,形：好ましくない,unfavorable market conditions,好ましくない市況,unfavorable,好ましくない,反：favorable（好ましい・有利な）
644,comparable,形：匹敵する・同程度の,be comparable in size to Tokyo Dome,大きさで東京ドームに匹敵する,comparable,匹敵する,be comparable in A to B（AでBに匹敵する）のフレーズで押さえる。
645,wasteful,形：無駄な,wasteful spending,無駄な出費,wasteful,無駄な,動：waste（浪費する） 名：waste（廃棄物・無駄）
646,blueprint,名：設計図・青写真,a blueprint for the new theater,新しい劇場の設計図,blueprint,設計図,パート3・4では「設計図の修正」や「設計図の提出」がトピックとして時折出る。
647,administrative,形：管理の,an administrative assistant,管理アシスタント,administrative,管理,Lで頻出のフレーズ。
648,storage,名：保管・貯蔵,a storage facility,貯蔵施設,storage,貯蔵,動：store（保管する）
649,certificate,名：認定証・修了証,a copy of the certificate,認定証の写し,certificate,認定証,TOEICの公式スコア認定証は、Official Score Certificate。
650,remainder,名：残り,the remainder of the budget,予算の残り,remainder,残り,類：rest（残り） 関連：remaining（残りの）
651,transaction,名：取引,a bank transaction,銀行取引,transaction,取引,銀行であればお金の入出金や振り込み、お店であれば商品の購入等、個別の取引のことを指す。
652,pharmacy,名：薬局,This is Tex Kato from Tex Pharmacy.,テックス薬局のテックス加藤です。,Pharmacy,薬局,同：pharmacist（薬剤師） 形：pharmaceutical（製薬の） 例：pharmaceutical company（製薬会社）
653,boost,動：押し上げる・引き上げる 名：押し上げること,boost the company's profit,会社の利益を押し上げる,boost,押し上げる,名詞でも出る。例：a major boost to the economy（経済への大きな後押し）
654,courteous,形：礼儀正しい,The staff was courteous.,スタッフは礼儀正しかった。,courteous,礼儀正しかった,副：courteously（礼儀正しく） 名：courtesy（礼儀正しさ） 類：polite（礼儀正しい）
655,generate,動：生み出す,generate profits,利益を生み出す,generate,生み出す,類：yield（生み出す）
656,tuition,名：授業料,pay tuition fees,授業料を払う,tuition,授業料,TOEICでは基本的に学生同士の会話や、学生に向けたトークや文書は出ないが、社員が大学で仕事に関連したコースを取ると助成金を出してくれる気前の良い会社が多く、しばしばパート3でこの単語が話題に上る。
657,statistics,名：統計・統計学,the most recent statistics,一番最近の統計,statistics,統計,「統計」の意味では複数扱い。例：statistics show that S+V（統計は、SがVすることを示している）
658,questionnaire,名：アンケート用紙,fill out a questionnaire,アンケート用紙に記入する,questionnaire,アンケート用紙,「アンケート用紙」「質問票」の意味で、「アンケート調査」を指す単語としてはsurveyが使われることに注意。
659,subscribe,動：購読する・加入する,subscribe to a magazine,雑誌を購読する,subscribe,購読する,お金を払って一定期間サービスを受けることで、必ずしも「購読」を意味するわけではない。名：subscription（購読・加入） 関連：subscriber（購読者・加入者）
660,summary,名：要約,a brief summary,短い要約,summary,要約,類義語のabstract（要約）も出題例がある。動：summarize（要約する） 例：summarize a speech（スピーチを要約する）
661,leak,動：漏れる,The pipe under the sink is leaking.,流しの下のパイプから水が漏れている。,leaking,漏れている,「情報をリークする」といった形でカタカナ語にもなっている。
662,assessment,名：評価・見積もり,the assessment of the value,価値の評価,assessment,評価,人や状況について評価・判断を下すこと。動：assess（評価する）
663,motivated,形：やる気に満ちた,a motivated individual,やる気のある方,motivated,やる気のある,名：motivation（やる気・動機）
664,diverse,形：多種多様な・たくさんの種類の,a diverse group of experts,多種多様な専門家のグループ,diverse,多種多様な,文法問題での出題例があるので品詞も押さえる。名：diversity（多様性） 動：diversify（多角化する）
665,refund,名：返金 動：返金する,a full refund,全額返金,refund,返金,fund（お金）を戻してもらうこと。
666,monitor,動：監視する,monitor inventory levels,在庫レベルを監視する,monitor,監視する,ある一定の期間チェックする、の意味。
667,publicize,動：宣伝する,publicize a book,本を宣伝する,publicize,宣伝する,「the public（一般の人）に情報を伝えて知ってもらう」の意味。パート7の文書の目的を問う問題の選択肢に登場するので覚えておこう。名：publicity（宣伝・注目）
668,eligible,形：資格がある,be eligible to receive paid holidays,有給休暇を受け取る資格がある,eligible,資格がある,be eligible to do（〜する資格がある）に加え、同じ意味のbe eligible for A（Aの資格がある）の形も重要。
669,complimentary,形：無料の,complimentary breakfast,無料の朝食,complimentary,無料の,TOEIC最頻出語の一つ。パート7で、free（無料の）との言い換えに注意。
670,transit,名：輸送,damage in transit,輸送中のダメージ,transit,輸送,TOEICの世界では、通販で注文した品物が1カ月後に届き、箱を開けたら品物が輸送中に破損していたというありえない事態が発生したことがある。
671,appliance,名：電化製品,kitchen appliances,台所用電化製品,appliances,電化製品,LRのどちらでも出る重要語。
672,refrain,動：差し控える,Please refrain from using mobile phones.,携帯電話のご利用はお控えください。,refrain,お控えください,refrain from doing（〜することを控える）のフレーズで押さえる。自動詞なので直後に名詞は取らず、受け身にもできない語法に注意。
673,brochure,名：パンフレット,a product brochure,製品パンフレット,brochure,パンフレット,TOEICでは「パンフレット」を意味する単語として、pamphletよりbrochureが重要。類：booklet（小冊子）
674,informative,形：有益な,an informative seminar,役立つセミナー,informative,役立つ,有益なinformation（情報）が詰まった、の意味。類：beneficial/useful（有益な）
675,enhance,動：向上させる・強化する,Add salt to enhance the flavor.,風味を高めるために塩を加える。,enhance,高める,enhanceのhanceの語源はhighで、「高める」イメージの単語。他動詞で直後に目的語を取る語法も押さえておこう。類：strengthen（強める）
676,prior,形：前の,prior to the meeting,ミーティングの前に,prior,前に,prior to A（Aの前に）のフレーズで押さえる。名：prior approval（事前の承認）
677,lease,名：賃貸借(契約) 動：賃貸借する,a two-year lease,2年間の賃貸契約,lease,賃貸契約,「リース」とカタカナ語にもなっている。動詞でも出る。例：lease an apartment（アパートを賃貸借する）
678,overview,名：概略・概況,give an overview,概略を説明する,overview,概略,重要なポイントだけを簡潔に説明すること。類：outline（概要・概要を説明する）
679,clarify,動：はっきりさせる・明確にする,clarify the situation,状況をはっきりさせる,clarify,はっきりさせる,形容詞のclear（はっきりした）の動詞で「クリアにする」こと。名：clarity（明確さ）
680,concise,形：簡潔な,The report was clear and concise.,そのレポートはわかりやすく簡潔だった。,concise,簡潔だった,副：concisely（簡潔に）
681,understaffed,形：人手不足の,We are really understaffed.,本当に人手不足です。,understaffed,人手不足,staffの数が必要よりunder（下）なこと。類：short-staffed（人手不足の）
682,embarrassing,形：恥ずかしい,an embarrassing failure,恥ずかしい失敗,embarrassing,恥ずかしい,TOEICの世界では、会社の恥ずかしいミスが表に出る前に、必ずそれを未然に食い止めるスーパー社員が存在し、「最優秀社員賞」にノミネートされる。
683,itinerary,名：旅程表,send an itinerary,旅程表を送る,itinerary,旅程表,リーディングパートの頻出語で、「日時や場所が書かれた旅行の予定表」のこと。
684,manner,名：方法・やり方,in a calm manner,冷静な方法で,manner,方法,単数形のmannerは「やり方」の意味で、日本語の行儀作法の「マナー」はtable manners（テーブルマナー）のように複数形になる。
685,upgrade,名：改良・アップグレード 動：改良する・アップグレードする,make upgrades to the air conditioning system,冷暖房システムを改良する,upgrades,改良,「ソフトのアップグレード」等、カタカナ語にもなっている。関：an upgraded computer（改良されたコンピュータ）
686,merger,名：合併・統合,mergers and acquisitions,合併吸収(M&A),mergers,合併,mergerは2つ以上の会社や部門が一つになることで、acquisitionはある会社が別会社や別会社の部門を買収すること。
687,notify,動：知らせる,notify employees of the change,従業員に変更を知らせる,notify,知らせる,文法問題でも出題例があるので、notify A of B（AにBを知らせる）とnotify A that S+V（Aに〜を知らせる）の形も押さえる。同義語のinform（知らせる）もこの2つの形を取る。
688,tentative,形：仮の,the tentative schedule,仮のスケジュール,tentative,仮の,副：tentatively（仮に）
689,beverage,名：飲料,a beverage manufacturer,飲料メーカー,beverage,飲料,「キリンビバレッジ」のように社名にも使われる。
690,compensate,動：補償する,be compensated for damage,損害の補償を受ける,compensated,補償を受ける,名詞のcompensationは、「補償」以外に「給料」の意味も重要。
691,shareholder,名：株主,shareholders' meeting,株主総会,shareholders',株主,同：stockholder（株主）
692,certified,形：有資格の・公認の,a certified building inspector,資格を持った建物の検査官,certified,資格を持った,CPA（公認会計士）はCertified Public Accountantの略。
693,collaboration,名：協力・協同,work in collaboration with others,他人と協同で作業する,collaboration,協同,「コラボ」とカタカナ語にもなっている。動：collaborate（協力する）
694,specification,名：仕様書,specifications for the project,プロジェクトの仕様書,specifications,仕様書,「納期、予算、内容等、細かい条件を記した指示書」のこと。製品の価格や機能等の詳細を示す際にも使われ、「製品スペック」とカタカナ語にもなっている。
695,confidential,形：機密の・秘密の,confidential materials,機密の資料,confidential,機密の,日本語の「マル秘資料」のこと。名：confidentiality（機密） 例：confidentiality agreement（機密保持契約：仕事で得た情報を第三者に漏らさないことを記した契約書のこと）
696,fund-raising,形：資金調達のための・慈善の,the fund-raising dinner,資金集めの夕食会,fund-raising,資金集めの,fund（資金）をraise（集める）ためのイベントのこと。TOEICの世界では、主にチャリティ目的のイベントや夕食会が毎日のように開催される。関：funding（財政支援）
